lattitude,longitude,time
29.8224,-92.9027,2022-10-12 16:14:43.574063
32.5406,-89.8074,2022-10-12 16:15:44.743139
35.1642,-86.5064,2022-10-12 16:16:45.913306
37.6771,-82.9729,2022-10-12 16:17:47.106355
40.0602,-79.1808,2022-10-12 16:18:48.307974
42.2923,-75.1046,2022-10-12 16:19:49.477174
44.3655,-70.6858,2022-10-12 16:20:50.646779
46.2198,-65.9813,2022-10-12 16:21:51.819546
47.8451,-60.9523,2022-10-12 16:22:53.008173
49.2126,-55.6096,2022-10-12 16:23:54.187146
50.2949,-49.9827,2022-10-12 16:24:55.367063
51.0676,-44.1222,2022-10-12 16:25:56.537538
51.5138,-38.0493,2022-10-12 16:26:57.707942
51.6143,-31.9497,2022-10-12 16:27:58.939163
51.3717,-25.8708,2022-10-12 16:29:00.120936
50.7923,-19.9043,2022-10-12 16:30:01.306069
49.8911,-14.1317,2022-10-12 16:31:02.472279
48.6898,-8.6163,2022-10-12 16:32:03.655882
47.2013,-3.358,2022-10-12 16:33:04.819457
45.4781,1.5358,2022-10-12 16:34:05.990865
43.5377,6.1052,2022-10-12 16:35:07.160600
41.4072,10.3593,2022-10-12 16:36:08.344294
39.1119,14.3162,2022-10-12 16:37:09.551700
36.6541,18.0283,2022-10-12 16:38:10.737375
34.0944,21.4611,2022-10-12 16:39:11.902598
31.4311,24.6728,2022-10-12 16:40:13.085791
28.6795,27.6894,2022-10-12 16:41:14.271038
25.8533,30.5359,2022-10-12 16:42:15.473560
22.9641,33.236,2022-10-12 16:43:16.644225
19.9984,35.8314,2022-10-12 16:44:17.813188
-12.3625,59.8456,2022-10-12 16:55:03.311230
-15.3961,62.1872,2022-10-12 16:56:04.431757
-18.3983,64.6054,2022-10-12 16:57:05.553640
-21.3617,67.1178,2022-10-12 16:58:06.668541
-24.2774,69.7434,2022-10-12 16:59:07.785297
-27.1359,72.503,2022-10-12 17:00:08.895880
-29.9264,75.4189,2022-10-12 17:01:10.015828
-32.6362,78.5149,2022-10-12 17:02:11.134900
-35.251,81.8164,2022-10-12 17:03:12.251528
-37.7547,85.3499,2022-10-12 17:04:13.365898
-40.1283,89.1416,2022-10-12 17:05:14.476773
-42.3509,93.2167,2022-10-12 17:06:15.593563
-44.3986,97.5961,2022-10-12 17:07:16.709099
-46.2454,102.2945,2022-10-12 17:08:17.825367
-47.8636,107.3157,2022-10-12 17:09:18.949640
-49.2248,112.6485,2022-10-12 17:10:20.064345
-50.3021,118.2642,2022-10-12 17:11:21.228095
-51.0709,124.1117,2022-10-12 17:12:22.355197
-51.5124,130.121,2022-10-12 17:13:23.477853
